row_id,image_path_flat,image_path,year_folder,session_date,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,panelist,attribute,caption_raw,caption_pre,caption
0,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,TG_19,Profumo,Crauti,Crauti,Profumo di crauti.
1,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,TG_24,Sapore,Leggermente  Acido amaro,Leggermente Acido amaro,Sapore leggermente acido e amaro.
2,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,TG_14,Aroma,Yogurt,Yogurt,Aroma di yogurt.
3,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,TG_24,Texture,Impasta la bocca,Impasta la bocca,Texture che impasta la bocca.
4,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,Q_09,Spessore della Crosta,Colore di fondo carico si nota meno il sottocrosta,Colore di fondo carico si nota meno il sottocrosta,Crosta di colore carico con sottocrosta poco distinguibile.
5,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,TG_24,Spessore della Crosta,Alto spessore,Alto spessore,Crosta spessa.
6,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,Q_09,Struttura della Pasta,Fine è stirata in centro grossolana verso scalzo,Fine è stirata in centro grossolana verso scalzo,"Pasta fine e stirata al centro, grossolana verso lo scalzo."
7,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,Q_09,Colore della Pasta,Macchia alone centrale rosato,Macchia alone centrale rosato,Pasta con macchia e alone centrale rosato.
8,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_305,C0C,TG_19,Colore della Pasta,Più che macchie è striscia rosata,Più che macchie è striscia rosata,Pasta con striscia rosata.
10,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_302,C0A,TG_14,Sapore,Leggermente acido,Leggermente acido,Sapore leggermente acido.
11,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_302,C0A,Q_09,Struttura della Pasta,Effetto a scaglie in alcune zone,Effetto a scaglie in alcune zone,Pasta con effetto a scaglie in alcune zone.
12,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_302,C0A,TG_35,Struttura della Pasta,Impercettibile micro Occhiatura centrale,Impercettibile micro Occhiatura centrale,Pasta con microocchiatura impercettibile al centro.
13,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_302,C0A,TG_24,Colore della Pasta,Solo leggero alone...,Solo leggero alone...,Pasta con leggero alone.
15,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_24,Sapore,Anonimo poco intenso,Anonimo poco intenso,"Sapore anonimo, poco intenso."
16,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_24,Texture,Fastidioso in bocca,Fastidioso in bocca,Texture fastidiosa in bocca.
17,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,Q_09,Struttura della Pasta,Profonde fratture sotto 1piattone una grande da Sotto l'altro,Profonde fratture sotto 1piattone una grande da Sotto l'altro,"Pasta con profonde fratture, una grande posizionata sotto uno dei piattoni."
18,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_12,Struttura della Pasta,Fessure enormi,Fessure enormi,Pasta con fessure pronunciate.
19,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_14,Struttura della Pasta,Tutta spaccata,Tutta spaccata,Pasta tutta spaccata.
20,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_24,Struttura della Pasta,Fessure profonde!,Fessure profonde!,Pasta con fessure profonde.
21,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_35,Struttura della Pasta,Lunghe e profonde fessure longitudinali,Lunghe e profonde fessure longitudinali,Pasta con lunghe e profonde fessure longitudinali.
22,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_328,C0P,TG_24,Colore della Pasta,Aree non belle come colore,Aree non belle come colore,Pasta con aree di colore non uniforme.
24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_307,C0E,TG_20,Aroma,"Burro fresco, note lattiche prevalenti, poco complesso","Burro fresco, note lattiche prevalenti, poco complesso","Aroma di burro fresco con note lattiche prevalenti, poco complesso."
25,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_307,C0E,TG_35,Texture,Quasi troppi cristalli...,Quasi troppi cristalli...,Texture con cristalli abbondanti.
26,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_307,C0E,Q_09,Struttura della Pasta,Tende a fare piccole scaglie,Tende a fare piccole scaglie,Pasta tendente a formare piccole scaglie.
27,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_307,C0E,TG_19,Struttura della Pasta,Grana di diversa granulosita,Grana di diversa granulosita,Pasta con grana di diversa granulosità.
28,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_307,C0E,TG_24,Struttura della Pasta,Peccato per irregolarità  di frattura,Peccato per irregolarità di frattura,Pasta con irregolarità di frattura.
29,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_307,C0E,TG_14,Colore della Pasta,Leggero alone centrale,Leggero alone centrale,Pasta con leggero alone centrale.
30,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_24,Sapore,Bella persistenza,Bella persistenza,Sapore con buona persistenza.
31,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_14,Aroma,Sembra grana abbastanza giovane,Sembra grana abbastanza giovane,Aroma di grana abbastanza giovane.
32,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_19,Spessore della Crosta,Omogeneo,Omogeneo,Crosta omogenea.
33,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_24,Spessore della Crosta,Però  crosta fine,Però crosta fine,Crosta sottile.
34,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,Q_09,Struttura della Pasta,In centro più fine,In centro più fine,Pasta più fine al centro.
35,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_24,Struttura della Pasta,Bella anche abbastanza  regolare,Bella anche abbastanza regolare,Pasta bella e abbastanza regolare.
36,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_13,Colore della Pasta,Leggero alone centrale,Leggero alone centrale,Pasta con leggero alone centrale.
37,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P4_TN_311_873_A_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_311,C0G,TG_19,Colore della Pasta,Alone molto grande,Alone molto grande,Pasta con alone molto grande.
38,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_14,Profumo,Forte,Forte,Profumo forte.
39,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_19,Profumo,Odore chimico tipo colpa o simili,Odore chimico tipo colpa o simili,Profumo di tipo chimico.
40,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_24,Profumo,Polvere,Polvere,Profumo di polvere.
41,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_35,Profumo,Banana verde,Banana verde,Profumo di banana verde.
42,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_13,Aroma,Sa di malga,Sa di malga,Aroma di malga.
43,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_24,Aroma,Non piacevole con persistenza elevata,Non piacevole con persistenza elevata,Aroma non piacevole con persistenza elevata.
44,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_24,Texture,Consistenza strana,Consistenza strana,Texture dalla consistenza strana.
45,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,Q_09,Spessore della Crosta,Alone disidratato Sotto crosta confonde,Alone disidratato Sotto crosta confonde,Crosta con alone disidratato e sottocrosta poco distinguibile.
47,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P5_TN_319_691_B_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_319,C0M,TG_35,Struttura della Pasta,"Piccoli occhi misti a un micro Occhiatura diffusa, fessure di circa 3-4cm","Piccoli occhi misti a un micro Occhiatura diffusa, fessure di circa 3-4cm",Pasta con piccoli occhi misti a microocchiatura diffusa e fessure pronunciate.
48,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_302,C0A,TG_14,Sapore,Leggermente acido,Leggermente acido,Sapore leggermente acido.
49,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_302,C0A,Q_09,Struttura della Pasta,Effetto a scaglie in alcune zone,Effetto a scaglie in alcune zone,Pasta con effetto a scaglie in alcune zone.
50,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_302,C0A,TG_35,Struttura della Pasta,Impercettibile micro Occhiatura centrale,Impercettibile micro Occhiatura centrale,Pasta con microocchiatura impercettibile al centro.
51,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_B_FETTA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Fetta,,,TN_302,C0A,TG_24,Colore della Pasta,Solo leggero alone...,Solo leggero alone...,Pasta con leggero alone.
53,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_307,C0E,TG_20,Aroma,"Burro fresco, note lattiche prevalenti, poco complesso","Burro fresco, note lattiche prevalenti, poco complesso","Aroma di burro fresco con note lattiche prevalenti, poco complesso."
54,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_307,C0E,TG_35,Texture,Quasi troppi cristalli...,Quasi troppi cristalli...,Texture con cristalli abbondanti.
55,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_307,C0E,Q_09,Struttura della Pasta,Tende a fare piccole scaglie,Tende a fare piccole scaglie,Pasta tendente a formare piccole scaglie.
56,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_307,C0E,TG_19,Struttura della Pasta,Grana di diversa granulosita,Grana di diversa granulosita,Pasta con grana di diversa granulosità.
57,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_307,C0E,TG_24,Struttura della Pasta,Peccato per irregolarità  di frattura,Peccato per irregolarità di frattura,Pasta con irregolarità di frattura.
58,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P3_TN_307_155_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P3_TN_307_155_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_307,C0E,TG_14,Colore della Pasta,Leggero alone centrale,Leggero alone centrale,Pasta con leggero alone centrale.
60,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_328,C0P,TG_24,Sapore,Anonimo poco intenso,Anonimo poco intenso,"Sapore anonimo, poco intenso."
61,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P6_TN_328_412_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P6_TN_328_412_A_GRANA.bmp,2020-2021_Trentingrana,2021-03-24,27,VI,Grana,,,TN_328,C0P,TG_24,Texture,Fastidioso in bocca,Fastidioso in bocca,Texture fastidiosa in bocca.
