dedup_key,attribute,caption_pre,frequency,sample_row_id
Profumo::crauti,Profumo,Crauti,34,0
Sapore::leggermente acido amaro,Sapore,Leggermente Acido amaro,4,1
Aroma::yogurt,Aroma,Yogurt,4,2
Texture::impasta la bocca,Texture,Impasta la bocca,4,3
Spessore della Crosta::colore di fondo carico si nota meno il sottocrosta,Spessore della Crosta,Colore di fondo carico si nota meno il sottocrosta,4,4
Spessore della Crosta::alto spessore,Spessore della Crosta,Alto spessore,4,5
Struttura della Pasta::fine è stirata in centro grossolana verso scalzo,Struttura della Pasta,Fine è stirata in centro grossolana verso scalzo,4,6
Colore della Pasta::macchia alone centrale rosato,Colore della Pasta,Macchia alone centrale rosato,4,7
Colore della Pasta::più che macchie è striscia rosata,Colore della Pasta,Più che macchie è striscia rosata,4,8
Sapore::leggermente acido,Sapore,Leggermente acido,68,10
Struttura della Pasta::effetto a scaglie in alcune zone,Struttura della Pasta,Effetto a scaglie in alcune zone,4,11
Struttura della Pasta::impercettibile micro occhiatura centrale,Struttura della Pasta,Impercettibile micro Occhiatura centrale,4,12
Colore della Pasta::solo leggero alone,Colore della Pasta,Solo leggero alone...,4,13
Profumo::al primo impatto non buono,Profumo,Al primo impatto non buono,4,14
Sapore::anonimo poco intenso,Sapore,Anonimo poco intenso,4,15
Texture::fastidioso in bocca,Texture,Fastidioso in bocca,4,16
Struttura della Pasta::profonde fratture sotto 1piattone una grande da sotto l'altro,Struttura della Pasta,Profonde fratture sotto 1piattone una grande da Sotto l'altro,4,17
Struttura della Pasta::fessure enormi,Struttura della Pasta,Fessure enormi,4,18
Struttura della Pasta::tutta spaccata,Struttura della Pasta,Tutta spaccata,4,19
Struttura della Pasta::fessure profonde,Struttura della Pasta,Fessure profonde!,4,20
Struttura della Pasta::lunghe e profonde fessure longitudinali,Struttura della Pasta,Lunghe e profonde fessure longitudinali,4,21
Colore della Pasta::aree non belle come colore,Colore della Pasta,Aree non belle come colore,4,22
Sapore::poco espressivo,Sapore,Poco espressivo,4,23
Aroma::burro fresco note lattiche prevalenti poco complesso,Aroma,"Burro fresco, note lattiche prevalenti, poco complesso",4,24
Texture::quasi troppi cristalli,Texture,Quasi troppi cristalli...,4,25
Struttura della Pasta::tende a fare piccole scaglie,Struttura della Pasta,Tende a fare piccole scaglie,4,26
Struttura della Pasta::grana di diversa granulosita,Struttura della Pasta,Grana di diversa granulosita,4,27
Struttura della Pasta::peccato per irregolarità di frattura,Struttura della Pasta,Peccato per irregolarità di frattura,4,28
Colore della Pasta::leggero alone centrale,Colore della Pasta,Leggero alone centrale,40,29
Sapore::bella persistenza,Sapore,Bella persistenza,4,30
Aroma::sembra grana abbastanza giovane,Aroma,Sembra grana abbastanza giovane,4,31
Spessore della Crosta::omogeneo,Spessore della Crosta,Omogeneo,8,32
Spessore della Crosta::però crosta fine,Spessore della Crosta,Però crosta fine,4,33
Struttura della Pasta::in centro più fine,Struttura della Pasta,In centro più fine,4,34
Struttura della Pasta::bella anche abbastanza regolare,Struttura della Pasta,Bella anche abbastanza regolare,4,35
Colore della Pasta::alone molto grande,Colore della Pasta,Alone molto grande,4,37
Profumo::forte,Profumo,Forte,4,38
Profumo::odore chimico tipo colpa o simili,Profumo,Odore chimico tipo colpa o simili,4,39
Profumo::polvere,Profumo,Polvere,16,40
Profumo::banana verde,Profumo,Banana verde,4,41
Aroma::sa di malga,Aroma,Sa di malga,4,42
Aroma::non piacevole con persistenza elevata,Aroma,Non piacevole con persistenza elevata,4,43
Texture::consistenza strana,Texture,Consistenza strana,4,44
Spessore della Crosta::alone disidratato sotto crosta confonde,Spessore della Crosta,Alone disidratato Sotto crosta confonde,4,45
Struttura della Pasta::forse il voto dato va diminuito di 1,Struttura della Pasta,Forse il voto dato va diminuito di 1!,4,46
Struttura della Pasta::piccoli occhi misti a un micro occhiatura diffusa fessure di circa 3 4cm,Struttura della Pasta,"Piccoli occhi misti a un micro Occhiatura diffusa, fessure di circa 3-4cm",4,47
Profumo::intensità bassa,Profumo,Intensità bassa,8,192
Sapore::poco saporito ma equilibrato,Sapore,"Poco saporito, ma equilibrato",4,193
Struttura della Pasta::pare molto asciutta,Struttura della Pasta,Pare molto asciutta,4,194
Profumo::leggero,Profumo,Leggero,72,195
Profumo::poco intenso manca tra i commenti,Profumo,Poco intenso manca tra i commenti?,4,196
Aroma::leggerissimo,Aroma,Leggerissimo,16,197
Aroma::dado molto concentrato,Aroma,"Dado, molto concentrato",4,198
Spessore della Crosta::diverso tra i due scalzi,Spessore della Crosta,Diverso tra i due scalzi,4,199
Spessore della Crosta::spesso,Spessore della Crosta,Spesso,12,200
Colore della Pasta::1 macchia centrale,Colore della Pasta,1 macchia centrale,4,201
Profumo::correggi fieno non meno 1 ma più 0 2,Profumo,Correggi fieno non meno 1 ma più 0.2,4,202
Profumo::poco intenso,Profumo,Poco intenso,40,203
Aroma::intensità bassa,Aroma,Intensità bassa,4,204
Colore della Pasta::alone tendente al rosato,Colore della Pasta,Alone tendente al rosato,8,205
Profumo::ottima intensità,Profumo,Ottima intensità,4,206
Aroma::poco intenso,Aroma,Poco intenso,16,208
Struttura della Pasta::effetto a scaglie,Struttura della Pasta,Effetto a scaglie,8,210
Profumo::solo all'apertura odore stantio,Profumo,Solo all'apertura odore stantio,4,268
Profumo::buona intensità,Profumo,Buona intensità,32,269
Profumo::complesso,Profumo,Complesso,4,270
Struttura della Pasta::presenza di pasta tendente al ruvido su un lato,Struttura della Pasta,Presenza di pasta tendente al ruvido su un lato,4,271
Struttura della Pasta::coesistono strutture diverse,Struttura della Pasta,Coesistono strutture diverse,4,273
Struttura della Pasta::non omogeneo,Struttura della Pasta,Non omogeneo,4,274
Struttura della Pasta::leggerissima spugnatura centrale appena visibile,Struttura della Pasta,Leggerissima spugnatura centrale appena visibile,4,275
Profumo::moderata intensità,Profumo,Moderata intensità,26,276
Profumo::paglia,Profumo,Paglia,8,277
Sapore::molto amaro,Sapore,Molto amaro,12,278
Aroma::leggero sentore finale di stalla,Aroma,Leggero sentore finale di stalla,8,279
Texture::anche buona solubilità peccato per asciutto,Texture,Anche buona solubilità! Peccato per asciutto,8,280
Spessore della Crosta::spessore non eccessivo sotto i piatti ma colore molto carico tendente al marrone rossiccio,Spessore della Crosta,Spessore non eccessivo sotto i piatti ma Colore molto carico tendente al marrone rossiccio,8,281
Struttura della Pasta::grassa,Struttura della Pasta,Grassa...,20,282
Struttura della Pasta::grana grossolana intesa negativamente,Struttura della Pasta,Grana grossolana intesa negativamente,8,283
Struttura della Pasta::peccato per occhi,Struttura della Pasta,Peccato per occhi ...,8,284
Struttura della Pasta::occhio da 8 mm e 3 mm,Struttura della Pasta,Occhio da 8 mm e 3 mm,8,285
Colore della Pasta::più carico in certe zone,Colore della Pasta,Più carico in certe zone,8,286
Colore della Pasta::una macchia giallo rosato,Colore della Pasta,Una macchia giallo rosato,8,287
Profumo::alcool,Profumo,Alcool,24,309
Aroma::farmacia,Aroma,Farmacia,4,310
Spessore della Crosta::colore sottoscritta diverso rossastro sotto scalzo e grigio sotto i piatti,Spessore della Crosta,Colore sottoscritta diverso rossastro sotto scalzo e grigio sotto i piatti,4,311
Struttura della Pasta::strana frattura ondulata e sotto crosta dsidratato,Struttura della Pasta,Strana frattura ondulata e sotto crosta dsidratato,4,312
Struttura della Pasta::1 fessura,Struttura della Pasta,1 fessura,4,313
Struttura della Pasta::fessura di 2 cm,Struttura della Pasta,Fessura di 2 cm,4,314
Colore della Pasta::qualche sfumatura verde,Colore della Pasta,Qualche sfumatura verde,4,315
