image_path,attribute,caption,caption_sentence
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Spessore della Crosta,Crosta di colore carico con sottocrosta poco distinguibile.,La crosta del formaggio è di colore carico con sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Spessore della Crosta,Crosta omogenea.,La crosta del formaggio è omogenea.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_FETTA.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_GRANA.bmp,Spessore della Crosta,Crosta con alone disidratato e sottocrosta poco distinguibile.,La crosta del formaggio presenta un alone disidratato e sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Spessore della Crosta,Crosta di colore carico con sottocrosta poco distinguibile.,La crosta del formaggio è di colore carico con sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Spessore della Crosta,Crosta omogenea.,La crosta del formaggio è omogenea.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_GRANA.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_FETTA.bmp,Spessore della Crosta,Crosta con alone disidratato e sottocrosta poco distinguibile.,La crosta del formaggio presenta un alone disidratato e sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Spessore della Crosta,Crosta di colore carico con sottocrosta poco distinguibile.,La crosta del formaggio è di colore carico con sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_B_FETTA.bmp,Spessore della Crosta,Crosta con alone disidratato e sottocrosta poco distinguibile.,La crosta del formaggio presenta un alone disidratato e sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_GRANA.bmp,Spessore della Crosta,Crosta omogenea.,La crosta del formaggio è omogenea.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_A_GRANA.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Spessore della Crosta,Crosta di colore carico con sottocrosta poco distinguibile.,La crosta del formaggio è di colore carico con sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P5_TN_319_691_A_GRANA.bmp,Spessore della Crosta,Crosta con alone disidratato e sottocrosta poco distinguibile.,La crosta del formaggio presenta un alone disidratato e sottocrosta poco distinguibile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_FETTA.bmp,Spessore della Crosta,Crosta omogenea.,La crosta del formaggio è omogenea.
data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P4_TN_311_873_B_FETTA.bmp,Spessore della Crosta,Crosta sottile.,La crosta del formaggio è sottile.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_FETTA.bmp,Spessore della Crosta,Crosta con spessore diverso tra i due scalzi.,La crosta del formaggio presenta uno spessore diverso tra i due scalzi.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_FETTA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_A_GRANA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_B_FETTA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_GRANA.bmp,Spessore della Crosta,Crosta con spessore diverso tra i due scalzi.,La crosta del formaggio presenta uno spessore diverso tra i due scalzi.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_GRANA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_A_FETTA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_GRANA.bmp,Spessore della Crosta,Crosta con spessore diverso tra i due scalzi.,La crosta del formaggio presenta uno spessore diverso tra i due scalzi.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_A_GRANA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_FETTA.bmp,Spessore della Crosta,Crosta con spessore diverso tra i due scalzi.,La crosta del formaggio presenta uno spessore diverso tra i due scalzi.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P3_TN_307_759_B_FETTA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P1_TN_302_851_B_GRANA.bmp,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_A.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P2_TN_310_437_FETTA_B.bmp,Spessore della Crosta,"Crosta di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio.","La crosta del formaggio è di spessore non eccessivo nella parte piatta, con colore molto carico tendente al marrone rossiccio."
data/images_flat/2020-2021_Trentingrana__VI bimestre__26°Seduta_17-03-2021__P6_TN_338_214_GRANA_B.bmp,Spessore della Crosta,Crosta con sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.,La crosta del formaggio presenta una sottocrosta di colore diverso: rossastra sotto lo scalzo e grigiastra sotto le parti piatte.
