sample_id,attribute,caption,caption_sentence,panelist,dairy_id,product_code,year,session_date,fetta_path,grana_path,has_fetta,has_grana,has_both_views,weight,classe
TN_305__2021-03-24__P,Profumo,Profumo di crauti.,Il formaggio ha un profumo di crauti.,TG_19,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Sapore,Sapore leggermente acido e amaro.,Il formaggio ha un sapore leggermente acido e amaro.,TG_24,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Aroma,Aroma di yogurt.,Il formaggio ha un aroma di yogurt.,TG_14,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Texture,Texture che impasta la bocca.,Il formaggio ha una texture che impasta la bocca.,TG_24,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Spessore della Crosta,Crosta di colore carico con sottocrosta poco distinguibile.,La crosta del formaggio è di colore carico con sottocrosta poco distinguibile.,Q_09,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Spessore della Crosta,Crosta spessa.,La crosta del formaggio è spessa.,TG_24,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Struttura della Pasta,"Pasta fine e stirata al centro, grossolana verso lo scalzo.","La pasta del formaggio è fine e stirata al centro, grossolana verso lo scalzo.",Q_09,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Colore della Pasta,Pasta con macchia e alone centrale rosato.,La pasta del formaggio presenta una macchia e alone centrale rosato.,Q_09,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_305__2021-03-24__P,Colore della Pasta,Pasta con striscia rosata.,La pasta del formaggio presenta una striscia rosata.,TG_19,TN_305,C0C,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,True,True,True,1.0,OK
TN_302__2021-03-24__P,Sapore,Sapore leggermente acido.,Il formaggio ha un sapore leggermente acido.,TG_14,TN_302,C0A,2020-2021_Trentingrana,2021-03-24,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_B_FETTA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,True,True,True,1.0,OK
