row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,caption_pre,dedup_key
0,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Profumo,Crauti,Crauti,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Crauti,Profumo::crauti
1,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Sapore,Leggermente  Acido amaro,Leggermente Acido amaro,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Leggermente Acido amaro,Sapore::leggermente acido amaro
2,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Aroma,Yogurt,Yogurt,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Yogurt,Aroma::yogurt
3,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Texture,Impasta la bocca,Impasta la bocca,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Impasta la bocca,Texture::impasta la bocca
4,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Spessore della Crosta,Colore di fondo carico si nota meno il sottocrosta,Colore di fondo carico si nota meno il sottocrosta,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Colore di fondo carico si nota meno il sottocrosta,Spessore della Crosta::colore di fondo carico si nota meno il sottocrosta
5,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Spessore della Crosta,Alto spessore,Alto spessore,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Alto spessore,Spessore della Crosta::alto spessore
6,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Struttura della Pasta,Fine è stirata in centro grossolana verso scalzo,Fine è stirata in centro grossolana verso scalzo,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Fine è stirata in centro grossolana verso scalzo,Struttura della Pasta::fine è stirata in centro grossolana verso scalzo
7,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Macchia alone centrale rosato,Macchia alone centrale rosato,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Macchia alone centrale rosato,Colore della Pasta::macchia alone centrale rosato
8,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Più che macchie è striscia rosata,Più che macchie è striscia rosata,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Più che macchie è striscia rosata,Colore della Pasta::più che macchie è striscia rosata
10,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Sapore,Leggermente acido,Leggermente acido,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A,Leggermente acido,Sapore::leggermente acido
11,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Struttura della Pasta,Effetto a scaglie in alcune zone,Effetto a scaglie in alcune zone,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A,Effetto a scaglie in alcune zone,Struttura della Pasta::effetto a scaglie in alcune zone
12,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Struttura della Pasta,Impercettibile micro Occhiatura centrale,Impercettibile micro Occhiatura centrale,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A,Impercettibile micro Occhiatura centrale,Struttura della Pasta::impercettibile micro occhiatura centrale
