row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code
0,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Profumo,Crauti,Crauti,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
1,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Sapore,Leggermente  Acido amaro,Leggermente Acido amaro,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
2,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Aroma,Yogurt,Yogurt,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
3,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Texture,Impasta la bocca,Impasta la bocca,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
4,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Spessore della Crosta,Colore di fondo carico si nota meno il sottocrosta,Colore di fondo carico si nota meno il sottocrosta,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
5,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Spessore della Crosta,Alto spessore,Alto spessore,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
6,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Struttura della Pasta,Fine è stirata in centro grossolana verso scalzo,Fine è stirata in centro grossolana verso scalzo,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
7,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Macchia alone centrale rosato,Macchia alone centrale rosato,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
8,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Più che macchie è striscia rosata,Più che macchie è striscia rosata,TG_19,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
9,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Brutta,Brutta,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C
10,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Sapore,Leggermente acido,Leggermente acido,TG_14,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A
11,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Struttura della Pasta,Effetto a scaglie in alcune zone,Effetto a scaglie in alcune zone,Q_09,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A
12,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Struttura della Pasta,Impercettibile micro Occhiatura centrale,Impercettibile micro Occhiatura centrale,TG_35,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A
13,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P1_TN_302_519_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P1_TN_302_519_A_GRANA.bmp,Colore della Pasta,Solo leggero alone...,Solo leggero alone...,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_302,C0A
