row_id,image_path_flat,image_path,attribute,caption_raw,caption_norm,panelist,session_date,year_folder,session_num,bimester,view,panel_slot,panel_replicate,dairy_id,product_code,caption_pre,dedup_key,drop_reason
9,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,Colore della Pasta,Brutta,Brutta,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Brutta,Colore della Pasta::brutta,PURE_EVAL
77,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_A_FETTA.bmp,Colore della Pasta,Brutta,Brutta,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_305,C0C,Brutta,Colore della Pasta::brutta,PURE_EVAL
125,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_FETTA.bmp,Colore della Pasta,Brutta,Brutta,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Fetta,,,TN_305,C0C,Brutta,Colore della Pasta::brutta,PURE_EVAL
153,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_A_GRANA.bmp,Colore della Pasta,Brutta,Brutta,TG_24,2021-03-24,2020-2021_Trentingrana,27,VI,Grana,,,TN_305,C0C,Brutta,Colore della Pasta::brutta,PURE_EVAL
207,data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P4_TN_323_124_B_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/29°Seduta_07-04-2021/P4_TN_323_124_B_GRANA.bmp,Aroma,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Q_09,2021-04-07,2020-2021_Trentingrana,29,VI,Grana,,,TN_323,C0N,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Aroma::al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno invertiti,SYSTEM_META
222,data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P4_TN_323_124_A_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/29°Seduta_07-04-2021/P4_TN_323_124_A_FETTA.bmp,Aroma,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Q_09,2021-04-07,2020-2021_Trentingrana,29,VI,Fetta,,,TN_323,C0N,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Aroma::al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno invertiti,SYSTEM_META
237,data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P4_TN_323_124_B_FETTA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/29°Seduta_07-04-2021/P4_TN_323_124_B_FETTA.bmp,Aroma,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Q_09,2021-04-07,2020-2021_Trentingrana,29,VI,Fetta,,,TN_323,C0N,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Aroma::al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno invertiti,SYSTEM_META
260,data/images_flat/2020-2021_Trentingrana__VI bimestre__29°Seduta_07-04-2021__P4_TN_323_124_A_GRANA.bmp,data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/29°Seduta_07-04-2021/P4_TN_323_124_A_GRANA.bmp,Aroma,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Q_09,2021-04-07,2020-2021_Trentingrana,29,VI,Grana,,,TN_323,C0N,Al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat Causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno Invertiti,Aroma::al primo tentativo si e chiuso il test senza la schermata dei commenti poi sono ripartita dal 124 e ha funzionat causa errore scelta vassoio l'ordine di valutazione è stato 851 555 795 963 124 i campioni 851 e 795 vanno invertiti,SYSTEM_META
991,data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P1_TN306_159_GRANA_A.bmp,data/TrentinGrana/2020-2021_Trentingrana/III bimestre/13°Seduta_02-12-2020/P1_TN306_159_GRANA_A.bmp,Struttura della Pasta,Scarsa,Scarsa,TG_26,2020-12-02,2020-2021_Trentingrana,13,III,Grana,,,TN_306,C0D,Scarsa,Struttura della Pasta::scarsa,PURE_EVAL
1001,data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P1_TN306_159_GRANA_B.bmp,data/TrentinGrana/2020-2021_Trentingrana/III bimestre/13°Seduta_02-12-2020/P1_TN306_159_GRANA_B.bmp,Struttura della Pasta,Scarsa,Scarsa,TG_26,2020-12-02,2020-2021_Trentingrana,13,III,Grana,,,TN_306,C0D,Scarsa,Struttura della Pasta::scarsa,PURE_EVAL
1102,data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P1_TN306_159_FETTA_A.bmp,data/TrentinGrana/2020-2021_Trentingrana/III bimestre/13°Seduta_02-12-2020/P1_TN306_159_FETTA_A.bmp,Struttura della Pasta,Scarsa,Scarsa,TG_26,2020-12-02,2020-2021_Trentingrana,13,III,Fetta,,,TN_306,C0D,Scarsa,Struttura della Pasta::scarsa,PURE_EVAL
1112,data/images_flat/2020-2021_Trentingrana__III bimestre__13°Seduta_02-12-2020__P1_TN306_159_FETTA_B.bmp,data/TrentinGrana/2020-2021_Trentingrana/III bimestre/13°Seduta_02-12-2020/P1_TN306_159_FETTA_B.bmp,Struttura della Pasta,Scarsa,Scarsa,TG_26,2020-12-02,2020-2021_Trentingrana,13,III,Fetta,,,TN_306,C0D,Scarsa,Struttura della Pasta::scarsa,PURE_EVAL
1947,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_FETTA_B.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/P5_TN323_892_FETTA_B.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Fetta,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
1978,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_FETTA_A.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/P5_TN323_892_FETTA_A.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Fetta,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
2091,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_GRANA_B.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/P5_TN323_892_GRANA_B.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
2122,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__P5_TN323_892_GRANA_A.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/P5_TN323_892_GRANA_A.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
2988,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__Variazione_colore_grana_10_02_2021__P5_TN323_892_GRANA_A_2.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/Variazione_colore_grana_10_02_2021/P5_TN323_892_GRANA_A_2.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
3032,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__Variazione_colore_grana_10_02_2021__P5_TN323_892_GRANA_A_0.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/Variazione_colore_grana_10_02_2021/P5_TN323_892_GRANA_A_0.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
3041,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__Variazione_colore_grana_10_02_2021__P5_TN323_892_GRANA_A_1.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/Variazione_colore_grana_10_02_2021/P5_TN323_892_GRANA_A_1.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
3080,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__Variazione_colore_grana_10_02_2021__P5_TN323_892_GRANA_B_2.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/Variazione_colore_grana_10_02_2021/P5_TN323_892_GRANA_B_2.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
3110,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__Variazione_colore_grana_10_02_2021__P5_TN323_892_GRANA_B_1.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/Variazione_colore_grana_10_02_2021/P5_TN323_892_GRANA_B_1.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
3133,data/images_flat/2020-2021_Trentingrana__IV bimestre__21°Seduta_10-02-2021__Variazione_colore_grana_10_02_2021__P5_TN323_892_GRANA_B_0.bmp,data/TrentinGrana/2020-2021_Trentingrana/IV bimestre/21°Seduta_10-02-2021/Variazione_colore_grana_10_02_2021/P5_TN323_892_GRANA_B_0.bmp,Struttura della Pasta,Bella,Bella,TG_24,2021-02-10,2020-2021_Trentingrana,21,IV,Grana,,,TN_323,C0N,Bella,Struttura della Pasta::bella,PURE_EVAL
3303,data/images_flat/2020-2021_Trentingrana__V bimestre__22° Seduta_17-02-2021__P4_TN326_285_GRANA_B.bmp,data/TrentinGrana/2020-2021_Trentingrana/V bimestre/22° Seduta_17-02-2021/P4_TN326_285_GRANA_B.bmp,Profumo,Ottimo,Ottimo,TG_24,2021-02-17,2020-2021_Trentingrana,22,V,Grana,,,TN_326,C0O,Ottimo,Profumo::ottimo,PURE_EVAL
3316,data/images_flat/2020-2021_Trentingrana__V bimestre__22° Seduta_17-02-2021__P4_TN326_285_GRANA_A.bmp,data/TrentinGrana/2020-2021_Trentingrana/V bimestre/22° Seduta_17-02-2021/P4_TN326_285_GRANA_A.bmp,Profumo,Ottimo,Ottimo,TG_24,2021-02-17,2020-2021_Trentingrana,22,V,Grana,,,TN_326,C0O,Ottimo,Profumo::ottimo,PURE_EVAL
3437,data/images_flat/2020-2021_Trentingrana__V bimestre__22° Seduta_17-02-2021__P4_TN326_285_FETTA_B.bmp,data/TrentinGrana/2020-2021_Trentingrana/V bimestre/22° Seduta_17-02-2021/P4_TN326_285_FETTA_B.bmp,Profumo,Ottimo,Ottimo,TG_24,2021-02-17,2020-2021_Trentingrana,22,V,Fetta,,,TN_326,C0O,Ottimo,Profumo::ottimo,PURE_EVAL
3450,data/images_flat/2020-2021_Trentingrana__V bimestre__22° Seduta_17-02-2021__P4_TN326_285_FETTA_A.bmp,data/TrentinGrana/2020-2021_Trentingrana/V bimestre/22° Seduta_17-02-2021/P4_TN326_285_FETTA_A.bmp,Profumo,Ottimo,Ottimo,TG_24,2021-02-17,2020-2021_Trentingrana,22,V,Fetta,,,TN_326,C0O,Ottimo,Profumo::ottimo,PURE_EVAL
9896,data/images_flat/2018-2019_Trentingrana__2019-02-06__P1a_302_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-02-06/P1a_302_grana.bmp,Struttura della Pasta,Bella,Bella,TG_26,2019-02-06,2018-2019_Trentingrana,20,,Grana,1,a,TN_302,C0A,Bella,Struttura della Pasta::bella,PURE_EVAL
10148,data/images_flat/2018-2019_Trentingrana__2019-02-06__P1b_302_grana.bmp,data/TrentinGrana/2018-2019_Trentingrana/2019-02-06/P1b_302_grana.bmp,Struttura della Pasta,Bella,Bella,TG_26,2019-02-06,2018-2019_Trentingrana,20,,Grana,1,b,TN_302,C0A,Bella,Struttura della Pasta::bella,PURE_EVAL
