dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Profumo::brodo,Profumo,brodo,Profumo di brodo.,44,6006,
Profumo::leggero,Profumo,Leggero,Profumo leggero.,72,195,
Profumo::panna,Profumo,panna,Profumo di panna.,68,5538,
Profumo::poco intenso,Profumo,Poco intenso,Profumo poco intenso.,40,203,
Profumo::crauti,Profumo,Crauti,Profumo di crauti.,34,0,
Profumo::strano a tratti sentiva di pesce perplesso,Profumo,Strano. A tratti sentiva di pesce. Perplesso,Profumo con note di pesce.,4,4958,
Profumo::bella intensità,Profumo,Bella intensità,Profumo di buona intensità.,10,2166,
Profumo::bouquet moderato con note vegetali e di brodo vegetale latte crosta,Profumo,"bouquet moderato con note vegetali e di brodo vegetale, latte, crosta","Profumo moderato con note vegetali, brodo vegetale e latte, sentore di crosta.",4,20420,
Profumo::brodo di carna burro fuso e latte cotto leggero sottobosco e tostato,Profumo,"Brodo di carna, burro fuso e latte cotto, leggero sottobosco e tostato","Profumo di brodo animale, burro fuso e latte cotto, con leggere note di sottobosco e tostato.",4,15430,
Profumo::lattici moderatamente intensi anche cotti leggero fermentato non spiacevole,Profumo,"Lattici moderatamente intensi, anche cotti, leggero fermentato non spiacevole","Profumo di note lattiche moderatamente intense, cotte, con leggero sentore fermentato.",4,16954,
Profumo::leggero/moderato come intensità' note di pane tostato burro latte cotto fungo/tartufo,Profumo,"leggero/moderato come intensità'. note di pane tostato. burro, latte cotto. fungo/tartufo","Profumo da leggero a moderato di pane tostato, burro e latte cotto, con sentori di fungo e tartufo.",4,6003,
Profumo::sa di grasso di prosciutto crudo,Profumo,Sa di grasso di prosciutto crudo,Profumo di grasso di prosciutto crudo.,4,4248,
Profumo::agrumi (all'apertura),Profumo,Agrumi (all'apertura),Profumo di agrumi all'apertura.,4,2381,
Profumo::sentore di crosta e di latte cotto,Profumo,sentore di crosta e di latte cotto,Profumo di crosta e latte cotto.,4,36881,
Sapore::salato,Sapore,salato,Sapore salato.,248,5780,
Sapore::equilibrato,Sapore,Equilibrato,Sapore equilibrato.,112,1728,
Sapore::leggermente salato,Sapore,leggermente salato,Sapore leggermente salato.,110,5550,
Profumo::minerale roccia,Profumo,Minerale-roccia,Profumo minerale-roccioso.,4,51197,
Sapore::piccante,Sapore,piccante,Sapore piccante.,98,5477,
Sapore::amaro,Sapore,Amaro,Sapore amaro.,96,1004,
Sapore::amaro prevalente,Sapore,Amaro prevalente,Sapore amaro prevalente.,8,2320,
