# Captions tagged NON_DESCRITTO (after manual salvage pass)
# These are filtered out of the final training set.

attribute                 freq  caption_pre
----------------------------------------------------------------------------------------------------
Aroma                       36  Non piacevole!!!
Aroma                        8  scarno
Aroma                        8  non del tutto positivo
Aroma                        8  Maggiore stagionatura
Aroma                        4  tende a zero
Aroma                        4  plastica ?
Aroma                        4  molto negativo
Aroma                        4  miseria
Aroma                        4  meglio dell-olfattiva
Aroma                        4  megilo del naso
Aroma                        4  leggermente percebilie
Aroma                        4  formaggio pronto
Aroma                        4  diffettoso
Aroma                        4  Vomitevole
Aroma                        4  Valutato durante foto …,
Aroma                        4  Untuoso, dimenticavo...
Aroma                        4  Trovato molti cristalli nei pezzi in cui non valutano la texture
Aroma                        4  Texture da modificare, troppo friabile.
Aroma                        4  Sovrastato da sapore
Aroma                        4  Sabbioso
Aroma                        4  Piuttostoanonimo
Aroma                        4  Ok ti sentiti tutti molto leggeri di profumo. Forse perché le mie vie nasali non…
Aroma                        4  Oggi sono raffreddato
Aroma                        4  Non me lo fa salvare!
Aroma                        4  Non gradevole
Aroma                        4  Non apprezzabile
Aroma                        4  Inesistente
Aroma                        4  Inconsistente
Aroma                        4  I 4 campioni sono legge4mente diversi, uno è più umido, gli altri molto più asci…
Aroma                        4  Ho con piccante nel Cata
Aroma                        4  Formaggio con presunta struttura stirata
Aroma                        4  Desaparecido
Aroma                        4  Crosta meno fastidiosa che al profumo
Aroma                        4  All’aroma non sento più il provolone…
Aroma                        4  A proposito del profumo: intensità notevole, ma troppo strano per essere trentun…
Aroma                      ---  (35 unique, 184 broadcast rows)

Colore della Pasta          10  Bel colore!
Colore della Pasta           8  Molto bello
Colore della Pasta           7  Tante e vistose fessure da 1 e 2 cm, soprattutto in corrispondenza di un piatto …
Colore della Pasta           4  Un piccolo strappo
Colore della Pasta           4  Taglio molto inregolare
Colore della Pasta           4  Struttura regolare
Colore della Pasta           4  Stirata
Colore della Pasta           4  Sicura sotto piatto
Colore della Pasta           4  Poi scusa al centro trend è a chuaro
Colore della Pasta           4  Piccola rottura
Colore della Pasta           4  Piatto staccato
Colore della Pasta           4  Pessima!
Colore della Pasta           4  Occhiatura da 1 a 2,5mm nella parte centrale della forma Ma frattura di 4 cm
Colore della Pasta           4  Grana fine frattura regolare
Colore della Pasta           4  Frattura di 3,5cm
Colore della Pasta           4  Ampio
Colore della Pasta           4  Acconciatura presente solo su un lato della forma circa 1mm
Colore della Pasta           4  A causa della frattura e del la pasta al centro con un aspetto bagnato pastoso n…
Colore della Pasta           2  Struttura a tratti difettosa con stiratura
Colore della Pasta         ---  (19 unique, 87 broadcast rows)

Profumo                      8  Y0gurth
Profumo                      8  Molto interessante
Profumo                      6  salato
Profumo                      4  tendenzialmente positivo difetti assenti
Profumo                      4  quasi imperteccibile...
Profumo                      4  no difetti ma non tipico
Profumo                      4  niente di particolare
Profumo                      4  nessu aroma particoare
Profumo                      4  lievissimo, quasi inesistente, come un presidente di Fondazione
Profumo                      4  forse uno dei più\ interessanti della batteria...
Profumo                      4  formaggio pronto
Profumo                      4  difetti e pregi che si annullano
Profumo                      4  dddddddddd
Profumo                      4  Un solo pezzo aveva un pessimo odore
Profumo                      4  Un campione con odore positivo, 3 con odore negativo
Profumo                      4  Soprattutto all'apertura
Profumo                      4  Solo una porzione su 4 è fortemente negativa
Profumo                      4  Sembra più vecchio
Profumo                      4  Quasi disturba!
Profumo                      4  Qualcosa di non ottimale che non so definire
Profumo                      4  Piacevole
Profumo                      4  Oggi sono raffreddato
Profumo                      4  Non so se ho scritto che son raffreddato
