dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Profumo::no difetti ma non tipico,Profumo,no difetti ma non tipico,NON_DESCRITTO,4,44110,
Profumo::discreta intensità',Profumo,"discreta intensità',",Profumo di discreta intensità.,2,46794,
Profumo::sentore di legno,Profumo,Sentore di legno,Profumo con sentore di legno.,4,3839,
Profumo::bella intensità,Profumo,Bella intensità,Profumo di buona intensità.,10,2166,
Profumo::emmental,Profumo,emmental,Profumo di emmental.,4,30769,
Profumo::molto intenso ma in negativo mi ricorda una essenza come il fieno greco comunque pungente,Profumo,Molto intenso ma in negativo....mi ricorda una essenza come il fieno greco...comunque pungente,"Profumo molto intenso, pungente, con note di fieno greco.",4,324,
Profumo::odore vegetale strano … buccia anguria,Profumo,"Odore vegetale strano …,buccia anguria?",Note olfattive vegetali di buccia di anguria.,4,51595,
Profumo::latte,Profumo,latte,Profumo di latte.,20,5775,
Profumo::poco intenso ma anche note vegetali brodo vegetale,Profumo,"poco intenso ma anche note vegetali , brodo vegetale",Profumo poco intenso con note vegetali e brodo vegetale.,4,44111,
Profumo::vegetale,Profumo,vegetale,Profumo vegetale.,20,5923,
Profumo::in negativo spezzando i cubetti profumo brodo vegetale e di animale/letame intensità media,Profumo,in negativo spezzando i cubetti profumo brodo vegetale e di animale/letame intensità media,"Profumo di brodo vegetale e animale, intensità moderata.",4,41359,
Profumo::ossidata e bruciata,Profumo,ossidata e bruciata,Profumo ossidata e bruciato.,4,11526,
Profumo::intensità buona una nota di cuoio su base di burro e panna,Profumo,"intensità buona, una nota di cuoio su base di burro e panna","Profumo di burro e panna con nota di cuoio, buona intensità.",4,30716,
Profumo::media intensità sentore anomalo (nostrano),Profumo,Media intensità. Sentore anomalo (nostrano),Profumo di media intensità con sentore anomalo nostrano.,4,2346,
Profumo::neutro,Profumo,Neutro,Profumo neutro.,8,50056,
Profumo::animale,Profumo,animale,Profumo animale.,16,11179,
Profumo::burro fuso brodo emmental leggeri,Profumo,"burro fuso, brodo, emmental leggeri","Profumo di burro fuso e brodo, note leggere di emmental.",4,7316,
Profumo::bouquet moderato con note vegetali e di brodo vegetale latte crosta,Profumo,"bouquet moderato con note vegetali e di brodo vegetale, latte, crosta","Profumo moderato con note vegetali, di brodo vegetale e latte, con sentore di crosta.",4,20420,
Profumo::crosta e brodo,Profumo,crosta e brodo,Profumo di crosta e brodo.,8,24292,
Profumo::moderata l'intensità sentori cotti tostato quasi fumo,Profumo,"moderata l'intensità. sentori cotti. tostato, quasi fumo","Profumo di moderata intensità con sentori cotti, tostato e quasi fumo.",4,23800,
Profumo::noce moscata frutta secca,Profumo,"noce moscata, frutta secca",Profumo di noce moscata e frutta secca.,4,22164,
Profumo::intensità bassissima,Profumo,Intensità bassissima,Profumo molto debole.,4,49866,
Profumo::leggero formaggio cotto e crosta,Profumo,leggero formaggio cotto e crosta,Profumo leggero di formaggio cotto e crosta.,4,27841,
Profumo::nota ossidata / fermentata poco complesso,Profumo,"nota ossidata / fermentata, poco complesso","Profumo con nota ossidata e fermentata, poco complesso.",4,36963,
Profumo::erbe balsamiche,Profumo,Erbe Balsamiche,Profumo di erbe balsamiche.,12,49803,
Profumo::punte di fruttato ed erbaceo,Profumo,punte di fruttato ed erbaceo,Profumo con punte di fruttato ed erbaceo.,4,14112,
Profumo::cotto leggero,Profumo,cotto leggero,Profumo leggero di cotto.,4,40240,
Profumo::leggero e povero,Profumo,leggero e povero,Profumo leggero e poco complesso.,4,15485,
Profumo::all'apertura odore pungente fermentato poi crosta di formaggio cotti intensi fino al caffè,Profumo,"All'apertura odore pungente, fermentato, poi crosta di formaggio, cotti intensi, fino al caffè","Profumo all'apertura pungente e fermentato, seguito da note di crosta di formaggio, cotti intensi fino a caffè.",4,11177,
Profumo::marcio,Profumo,Marcio,Profumo marcio.,8,51854,
Profumo::latte/grana e un poco fruttato ma non intensi i profumi,Profumo,latte/grana e un poco fruttato.. ma non intensi i profumi,"Profumo di latte e grana con poco fruttato, non intensi.",4,25588,
"Profumo::alla prima olfazione sentore di formaggio ""altro"" fermentazione non tipica trentingrana poi si perde e resta un'intensità bassa",Profumo,"alla prima olfazione sentore di formaggio ""altro"". Fermentazione non tipica trentingrana. poi si perde e resta un'intensità bassa","Profumo di formaggio con sentore di fermentazione atipica, poi poco intenso.",4,41361,
Profumo::crosta di grana all'apertura poi anche leggero erbaceo fresco,Profumo,"Crosta di grana all'apertura, poi anche leggero erbaceo fresco","Profumo di crosta di grana all'apertura, seguito da leggero erbaceo fresco.",4,12856,
Profumo::nota pungente di latte e panna fermentata panna fresca burro fresco,Profumo,"nota pungente di latte e panna fermentata, panna fresca, burro fresco","Profumo pungente di latte e panna fermentata, con panna fresca e burro fresco.",4,18723,
Profumo::oltre altostato e al maturo presente qualche lieve nota fresca,Profumo,"oltre altostato e al maturo, presente qualche lieve nota fresca",Profumo maturo con lieve nota fresca.,4,7777,
Profumo::leggermente insilatopungente,Profumo,leggermente insilatopungente;,Profumo leggermente insilato e pungente.,8,29102,
Profumo::noce,Profumo,Noce,Profumo di noce.,4,2358,
Profumo::fruttato e tostato leggereo lattio fresco,Profumo,fruttato e tostato leggereo lattio fresco,"Profumo fruttato e tostato, leggermente lattico fresco.",4,42642,
Profumo::caramella mou latte cotto,Profumo,"caramella mou, latte cotto",Profumo di caramella mou e latte cotto.,8,16876,
