dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Sapore::quasi insapore,Sapore,quasi insapore,Sapore quasi insapore.,4,42789,
Sapore::umami e salato molto forte,Sapore,umami e salato molto forte,Sapore umami e salato molto forte.,4,20497,
Sapore::buon equilibrio poco umami non piccante dolce,Sapore,Buon equilibrio. Poco umami. Non piccante. Dolce,"Sapore equilibrato, poco umami, non piccante e dolce.",4,49138,
Sapore::equilibrato con note anche dolci sebbene leggero piccante,Sapore,equilibrato con note anche dolci sebbene leggero piccante,Sapore equilibrato con note dolci e leggermente piccante.,2,46808,
Sapore::piccante e acido non molto salato umami ben presente,Sapore,"piccante e acido, non molto salato, umami ben presente","Sapore piccante e acido con umami ben presente, non molto salato.",4,16809,
Sapore::ddleggermente piccante acido amaro,Sapore,ddleggermente piccante;acido;amaro,"Sapore leggermente piccante, acido e amaro.",4,18267,
Sapore::piccante e amaro moderato,Sapore,piccante e amaro MODERATO,Sapore piccante e moderatamente amaro.,4,27645,
Sapore::glutammato prevalente segue la nota dolce assenza del piccante,Sapore,"glutammato prevalente segue la nota dolce, assenza del piccante","Sapore con umami prevalente, nota dolce e assenza di piccantezza.",4,16966,
Sapore::equuilibrato con buona sapidità ma noon eccessiva,Sapore,equuilibrato con buona sapidità ma noon eccessiva,Sapore equilibrato con buona sapidità non eccessiva.,4,18735,
Sapore::piccante ma tollerabile,Sapore,"Piccante, ma tollerabile",Sapore piccante ma tollerabile.,4,37486,
Sapore::sapidità' eccessiva e acidulo,Sapore,sapidità' eccessiva e acidulo,Sapore con sapidità eccessiva e acidulo.,4,40257,
Sapore::dolce leggermente piccante umami,Sapore,dolce;leggermente piccante;umami;,"Sapore dolce, leggermente piccante e umami.",4,6018,
Sapore::umami equilibrato,Sapore,umami. equilibrato.,Sapore umami e equilibrato.,8,29171,
Sapore::non da grana,Sapore,Non da grana,Sapore non tipico del grana.,4,48665,
Sapore::leggerissimo amaro,Sapore,leggerissimo amaro,Sapore leggerissimamente amaro.,4,40390,
Sapore::sapidità' un poco elevata,Sapore,sapidità' un poco elevata,Sapore con sapidità leggermente elevata.,4,21634,
Sapore::buon equilibrio di sapori piccante leggero,Sapore,"buon equilibrio di sapori, piccante leggero",Sapore equilibrato con leggera piccantezza.,4,5933,
Sapore::pungente con levita' amaro,Sapore,"pungente con levita', amaro",Sapore pungente e leggermente amaro.,4,44207,
Sapore::delicato,Sapore,delicato,Sapore delicato.,8,16731,
Sapore::acido domina,Sapore,Acido domina,Sapore acido prevalente.,4,5075,
Sapore::piccante umami carico salato,Sapore,"piccante, umami carico, salato","Sapore piccante, salato umami.",4,16963,
Sapore::manca sale leggermente amaro,Sapore,"manca sale, leggermente amaro",Sapore leggermente amaro con scarsa salinità.,4,30822,
Sapore::abbastanza equilibrato sapido e poco o nulla piccante,Sapore,"abbastanza equilibrato, sapido e poco o nulla piccante","Sapore abbastanza equilibrato, sapido e poco piccante.",2,46136,
Sapore::salato umami leggermente amaro,Sapore,salato umami leggermente amaro,Sapore salato umami e leggermente amaro.,4,41144,
Sapore::molto salato e leggemrente piccante,Sapore,molto salato e leggemrente piccante,Sapore molto salato e leggermente piccante.,4,30725,
