dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Struttura della Pasta::grana molto grossolana poco profilata,Struttura della Pasta,Grana molto grossolana poco profilata,Pasta con grana molto grossolana e poco profilata.,4,41405,
Struttura della Pasta::regolare e omogenea,Struttura della Pasta,Regolare e omogenea,Pasta regolare e omogenea.,4,15473,
Struttura della Pasta::grana grossolana e occhiatura fitta con effetto spugna,Struttura della Pasta,Grana grossolana e occhiatura fitta con effetto spugna,Pasta con grana grossolana e occhiatura fitta dall'effetto spugnoso.,4,41344,
Struttura della Pasta::pasta stirata con microocchiature centrali con frattura arrotondata,Struttura della Pasta,Pasta stirata con microocchiature centrali con frattura arrotondata,Pasta stirata con microocchiature centrali e frattura arrotondata.,4,5590,
Struttura della Pasta::frattura regolare microochiatura inf mm struttura irregolare centrale stirata sotto lo scalzo zona spugnosa qualche frattura perle evidenti,Struttura della Pasta,Frattura regolare microochiatura inf mm struttura irregolare centrale stirata sotto lo scalzo zona spugnosa qualche frattura perle evidenti,"Pasta con frattura regolare, microocchiatura inferiore, struttura irregolare al centro con stiratura, zona spugnosa sotto lo scalzo e qualche frattura.",4,25635,
Struttura della Pasta::ignoro frattura presente struttura fine è diffusa occhiatura abbondante anche se non spugnatura vera e propria,Struttura della Pasta,"Ignoro frattura presente. Struttura fine è diffusa. Occhiatura abbondante, anche se non spugnatura vera e propria","Pasta con struttura fine e diffusa, occhiatura abbondante.",4,7440,
Struttura della Pasta::microocchiatura leggera,Struttura della Pasta,Microocchiatura leggera,Pasta con microocchiatura leggera.,8,1789,
Struttura della Pasta::pessima,Struttura della Pasta,Pessima,NON_DESCRITTO,8,352,
Struttura della Pasta::stirata occhi fini grana grossolana fessura al centro spugna di occhi su un lato,Struttura della Pasta,Stirata occhi fini grana grossolana fessura al centro spugna di occhi su un lato,"Pasta stirata con grana grossolana, occhi fini, fessura al centro e zona spugnosa su un lato.",4,25644,
Struttura della Pasta::frattura non regolare fessure,Struttura della Pasta,"Frattura non regolare, fessure",Pasta con frattura non regolare e fessure.,4,6058,
Struttura della Pasta::frattura irregolare ma buona grana,Struttura della Pasta,Frattura irregolare ma buona grana,Pasta con frattura irregolare e buona grana.,4,32342,
Struttura della Pasta::frattura regolare grana fine presente uno spacco della pasta,Struttura della Pasta,"Frattura regolare, grana fine, Presente uno spacco della pasta!","Pasta con frattura regolare, grana fine e uno spacco.",4,41403,
Struttura della Pasta::molto stirata scarsa grana,Struttura della Pasta,Molto stirata scarsa grana,Pasta molto stirata con scarsa grana.,4,25714,
Struttura della Pasta::grana reg è fine leggero stirata al centro,Struttura della Pasta,Grana reg è fine leggero stirata al centro,"Pasta a grana fine e regolare, leggermente stirata al centro.",4,15971,
Struttura della Pasta::un poco' stirata con occhiature nella zona centrale,Struttura della Pasta,"Un poco' stirata,con occhiature nella zona centrale",Pasta leggermente stirata con occhiature nella zona centrale.,4,44338,
Struttura della Pasta::senza grana,Struttura della Pasta,Senza grana,Pasta senza grana.,8,48496,
Struttura della Pasta::stirata e leggera microocchiatura,Struttura della Pasta,Stirata e leggera microocchiatura,Pasta stirata con leggera microocchiatura.,4,9970,
Struttura della Pasta::pasta irregolare con zona centrale con fitti strappi piccoli sembra quasi realizzata,Struttura della Pasta,Pasta irregolare con zona centrale con Fitti strappi piccoli sembra quasi realizzata,Pasta irregolare con zona centrale caratterizzata da strappi fitti e piccoli.,4,7362,
