dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Colore della Pasta::colore aranciata uniforme,Colore della Pasta,Colore aranciata uniforme,Pasta di colore aranciato uniforme.,4,16935,
Colore della Pasta::più chiara sotto un piatto ma generalmente abbastanza chiara,Colore della Pasta,"Più chiara sotto un piatto, ma generalmente abbastanza chiara","Pasta di colore abbastanza chiaro, più chiara in una zona.",4,7457,
Colore della Pasta::la vasca della frattura tende al rosa arancio più chiaro sotto un piatto,Colore della Pasta,"La vasca della frattura tende al rosa arancio, più chiaro sotto un piatto","Pasta con colore della frattura tendente al rosa arancio, più chiara nella zona sottostante il piatto.",4,18480,
Colore della Pasta::colore chiara e omogenea,Colore della Pasta,Colore chiara e omogenea,Pasta di colore chiaro e omogeneo.,4,24214,
Colore della Pasta::appena più saturo al centro,Colore della Pasta,Appena più saturo al centro,Pasta di colore appena più saturo al centro.,4,49590,
Colore della Pasta::alone appena più carico,Colore della Pasta,Alone appena più carico,Pasta con alone appena più carico.,4,2545,
Colore della Pasta::paglierino con riflessi verdastri,Colore della Pasta,Paglierino con riflessi verdastri,Pasta di colore paglierino con riflessi verdastri.,4,18792,
Colore della Pasta::paglierino chiaro non omogeneo centralmente è più carico con leggero alone grigiastro,Colore della Pasta,"Paglierino chiaro, non omogeneo, centralmente è più carico, con leggero alone grigiastro","Pasta paglierina chiara non omogenea, più carica centralmente con leggero alone grigiastro.",4,23867,
Colore della Pasta::giallo pallido,Colore della Pasta,Giallo pallido,Pasta di colore giallo pallido.,4,2326,
Colore della Pasta::più chiaro sotto un piatto alone tendente al rosa,Colore della Pasta,"Più chiaro sotto un piatto, alone tendente al rosa",Pasta più chiara nella zona sottocrostale con alone tendente al rosa.,4,25575,
Colore della Pasta::giallo un poco' carico con sfumatura più chiara parte esterna,Colore della Pasta,"Giallo un poco' carico, con sfumatura più chiara parte esterna","Pasta di colore giallo poco carico, con sfumatura più chiara nella parte esterna.",4,13896,
Colore della Pasta::in certe zone molto carico,Colore della Pasta,In certe zone molto carico,Pasta di colore molto carico in certe zone.,4,31965,
Colore della Pasta::disomogeneo concentrarti al centro,Colore della Pasta,Disomogeneo concentrarti al centro,Pasta disomogenea con concentrazione di colore al centro.,2,46191,
Colore della Pasta::leggero alone centrale più scuro tendente comunque al chiato,Colore della Pasta,Leggero alone centrale più scuro tendente comunque al chiato,Pasta con leggero alone centrale tendente allo scuro ma comunque chiara.,4,23866,
Colore della Pasta::uniforme abbastanza chiaro,Colore della Pasta,"Uniforme, abbastanza chiaro",Pasta di colore abbastanza chiaro e uniforme.,4,37376,
Colore della Pasta::non omogeneo,Colore della Pasta,Non omogeneo,Pasta con colore non omogeneo.,12,27903,
Colore della Pasta::dal giallo verde chiaro a giallo paglierino,Colore della Pasta,Dal giallo verde chiaro a giallo paglierino,Pasta dal giallo verdognolo chiaro al giallo paglierino.,4,12915,
Colore della Pasta::giallo con ombre rosate,Colore della Pasta,Giallo con ombre rosate,Pasta di colore giallo con ombre rosate.,4,11446,
Colore della Pasta::alone tendente al rosato,Colore della Pasta,Alone tendente al rosato,Pasta con alone tendente al rosato.,8,205,
Colore della Pasta::periferia chiara centro appena più saturo,Colore della Pasta,"Periferia chiara, centro appena più saturo",Pasta con periferia chiara e centro appena più saturo.,4,18860,
Colore della Pasta::abbastanza regolare,Colore della Pasta,Abbastanza regolare,Pasta di colore omogeneo.,4,23935,
Colore della Pasta::alone centrale con anello rosa più chiaro sotto un piatto e uno scalzo,Colore della Pasta,"Alone centrale con anello rosa, più chiaro sotto un piatto e uno scalzo","Pasta con alone centrale e anello rosato, più chiara sotto la crosta e uno scalzo.",4,44856,
Colore della Pasta::colore carico con qualche leggera zona rosata,Colore della Pasta,Colore carico con qualche leggera zona rosata,Pasta di colore carico con qualche leggera zona rosata.,4,18479,
Colore della Pasta::grossa macchia di muffa,Colore della Pasta,Grossa macchia di muffa,Pasta con grossa macchia di muffa.,4,48986,
Colore della Pasta::un poco' eterogeneo più carico al centro con qualche alone che tende al rosa,Colore della Pasta,"Un poco' eterogeneo, più carico al centro con qualche alone che tende al rosa","Pasta leggermente eterogenea, più carico al centro con qualche alone tendente al rosa.",4,37464,
Colore della Pasta::colore chiaro ma centro rosato,Colore della Pasta,Colore chiaro ma centro rosato,Pasta di colore chiaro con centro rosato.,4,17397,
Colore della Pasta::struttura regolare,Colore della Pasta,Struttura regolare,NON_DESCRITTO,4,33657,
Colore della Pasta::macchie rosa colore chiaro bello,Colore della Pasta,Macchie rosa colore chiaro bello,Pasta con macchie rosa e colore chiaro.,8,29542,
Colore della Pasta::alone leggero centrale tinte chiare,Colore della Pasta,"Alone leggero centrale, tinte chiare",Pasta con alone leggero centrale e tinte chiare.,4,30758,
Colore della Pasta::giallo leggermente verdastro più carico al centro,Colore della Pasta,"Giallo leggermente verdastro, più carico al centro","Pasta di colore giallo leggermente verdastro, più carico al centro.",4,5915,
Colore della Pasta::paglierino più intenso nella parte centrale scarico estremamente,Colore della Pasta,"Paglierino più intenso nella parte centrale, scarico estremamente","Pasta di colore paglierino intenso nella parte centrale, scarica agli esterni.",4,5919,
Colore della Pasta::colore leggermente più carico al centro,Colore della Pasta,Colore leggermente più carico al centro,Pasta di colore leggermente più carico al centro.,4,16863,
Colore della Pasta::giallo tendente al chiaro piuttosto luminoso,Colore della Pasta,Giallo tendente al chiaro piuttosto luminoso.,Pasta di colore giallo tendente al chiaro e piuttosto luminoso.,4,11448,
Colore della Pasta::paglierino carico soprattutto al centro con delle striature più evidenti,Colore della Pasta,Paglierino carico soprattutto al centro con delle striature più evidenti,Pasta di colore paglierino carico al centro con striature più evidenti.,4,15647,
Colore della Pasta::chiaro a con leggero alone,Colore della Pasta,Chiaro a con leggero alone,Pasta con leggero alone e colore chiaro.,4,31887,
Colore della Pasta::paglierino carico con leggero alone verde grigiastro,Colore della Pasta,Paglierino carico con leggero alone verde grigiastro,Pasta di colore paglierino carico con leggero alone verde grigiastro.,4,24147,
