dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Spessore della Crosta::tende al fine ma con zone diverse,Spessore della Crosta,"Tende al fine, ma con zone diverse",Crosta sottile tendente a zone di spessore diverso.,4,9463,
Spessore della Crosta::più sottile di 10mm,Spessore della Crosta,Più sottile di 10mm,Crosta molto sottile.,4,30600,
Spessore della Crosta::indefinita media 13mm,Spessore della Crosta,Indefinita!!!! Media 13mm,"Crosta di spessore medio, con profilo indefinito.",4,15458,
Spessore della Crosta::scalzo e piatto medio 7mm spigolo media 14mm,Spessore della Crosta,Scalzo e piatto medio 7mm Spigolo media 14mm,"Crosta con scalzo e parte piatta sottile, spigoli mediamente spessi.",4,27670,
Spessore della Crosta::limite sfumato ma sempre sopra il cm,Spessore della Crosta,Limite sfumato ma sempre sopra il cm,Crosta mediamente spessa con limite sfumato.,4,5580,
Spessore della Crosta::media 10mm spigoli da 18mm,Spessore della Crosta,Media 10mm Spigoli da 18mm,Crosta con spessore medio e spigoli molto spessi.,4,44319,
Spessore della Crosta::sui piatti a tratti estremamente sottile,Spessore della Crosta,Sui piatti a tratti estremamente sottile,Crosta sui piatti a tratti estremamente sottile.,4,9876,
Spessore della Crosta::un poco di unghia crosta abbastanza marcata sugli angoli,Spessore della Crosta,"Un Poco di unghia, crosta abbastanza marcata sugli angoli",Crosta con unghia poco pronunciata e spigoli abbastanza marcati.,4,7817,
Spessore della Crosta::unghia importante,Spessore della Crosta,Unghia importante,Crosta unghia spessa.,4,2375,
Spessore della Crosta::limite molto netto,Spessore della Crosta,Limite molto netto,Crosta con limite molto netto.,4,11422,
Spessore della Crosta::alto,Spessore della Crosta,Alto...,Crosta spessa.,4,11498,
Spessore della Crosta::sempre superiore ai 12 mm,Spessore della Crosta,Sempre superiore ai 12 mm,"Crosta spessa, con spessore superiore al medio.",4,25702,
Spessore della Crosta::molto sottile,Spessore della Crosta,Molto sottile,Crosta molto sottile.,74,9459,
Spessore della Crosta::1 piatto sottile ~8mm l'altro piatto oltre il cm,Spessore della Crosta,"1 piatto sottile, ~8mm. L'altro piatto oltre il cm","Crosta con spessore eterogeneo: parte piatta sottile, l'altro lato mediamente spesso.",4,5888,
Spessore della Crosta::mediamente superiore al cm,Spessore della Crosta,Mediamente superiore al cm,Crosta spessa.,4,7352,
Spessore della Crosta::1 1 cm con spesso sottocrosta soprattutto sugli angoli,Spessore della Crosta,"1,1 cm con spesso sottocrosta soprattutto sugli angoli",Crosta mediamente spessa con sottocrosta marcata soprattutto sugli angoli.,4,42468,
Spessore della Crosta::crosta disomogenea media 1 cm,Spessore della Crosta,Crosta disomogenea. Media 1 cm,"Crosta disomogenea, mediamente spessa.",4,5892,
Spessore della Crosta::carico ma sottile,Spessore della Crosta,Carico ma sottile,Crosta sottile ma carico di colore.,4,51048,
Spessore della Crosta::ben definita spigoli 15mm circa piatti e scalzo 7mm,Spessore della Crosta,Ben definita Spigoli 15mm circa Piatti e scalzo 7mm,"Crosta spessa con spigoli pronunciati, parte piatta e scalzo sottile.",4,7889,
Spessore della Crosta::anche sotto i 10 mm a lunghi tratti,Spessore della Crosta,Anche sotto i 10 mm a lunghi tratti,Crosta sottile in lunghi tratti.,4,34407,
Spessore della Crosta::9 deciso,Spessore della Crosta,9 deciso,Crosta sottile e marcata.,4,11427,
