dedup_key,attribute,caption_pre,caption_clean,frequency,sample_row_id,error
Texture::buona friabilità' presenza di cristalli scarsa solubilità,Texture,"buona friabilità', presenza di cristalli, scarsa solubilità",Texture friabile con cristalli presenti e scarsa solubilità.,4,42456,
Texture::grana presente compatto,Texture,"grana presente, compatto,",Texture granulosa e compatta.,8,15401,
Texture::se non fosse per i troppi cristalli,Texture,se non fosse per i troppi cristalli...,Texture con cristalli abbondanti.,4,31786,
Texture::tirosina molto scarsa,Texture,tirosina molto scarsa,Texture con tirosina scarsa.,8,15956,
Texture::leggermente adesiva,Texture,leggermente adesiva,Texture leggermente adesiva.,4,33942,
Texture::non ha struttura da grana,Texture,Non ha struttura da grana,Texture non granulosa.,4,3836,
Texture::inconsistente,Texture,inconsistente,Texture inconsistente.,4,34394,
Texture::pastoso manca un poco di granulosita,Texture,"pastoso, manca un poco di granulosita,","Texture pastosa, con scarsa granulosità.",2,46670,
Texture::molle,Texture,molle,Texture molle.,4,49308,
Texture::compatto non molto friabile granuloso non molto solubile e leggermente sabbioso alla fine,Texture,"compatto, non molto friabile, granuloso, non molto solubile e leggermente sabbioso alla fine","Texture compatta, poco friabile, granulosa, poco solubile e leggermente sabbioso alla fine.",4,17372,
Texture::molto equilibrato,Texture,Molto equilibrato,NON_DESCRITTO,4,4749,
Texture::gommoso,Texture,gommoso,Texture gommosa.,16,11629,
Texture::morbito si liquefa velocemente e lascia la bocca pulitissima,Texture,"morbito, si liquefa velocemente e lascia la bocca pulitissima","Texture morbida, si scioglie velocemente e lascia la bocca pulita.",4,47382,
Texture::duro poco solubile moderatametne umido microstruttura piuttosto grossolana,Texture,"duro, poco solubile, moderatametne umido, microstruttura piuttosto grossolana","Texture dura, poco solubile, moderatamente umida e microstruttura piuttosto grossolana.",4,21755,
Texture::lascia la bocca abbastanza pulita,Texture,lascia la bocca abbastanza pulita,Texture che lascia la bocca abbastanza pulita.,4,47494,
Texture::asciutto farino e poco solubile,Texture,"asciutto, farino e poco solubile","Texture asciutta, farinosa e poco solubile.",4,47156,
Texture::morbido e pastoso cristalli evidenti,Texture,morbido e pastoso cristalli evidenti,Texture morbida e pastosa con cristalli evidenti.,4,32239,
Texture::lega la bocca,Texture,Lega la bocca,Texture che lega la bocca.,8,3499,
Texture::peccato per la leggera sabbiosita finale,Texture,peccato per la leggera sabbiosita finale,Texture leggermente sabbioso nel finale.,4,22391,
Texture::friabilità intensità scara granuli tirosina intensità scarsa,Texture,friabilità intensità scara;granuli tirosina intensità scarsa,Texture poco friabile con granuli di tirosina scarsi.,4,9442,
