image_path,image_path_flat,image_filename,view,year_folder,session_date,session_num,bimester,panel_slot,panel_replicate,dairy_id,product_code,panelist,attribute,score,comment,production_date,comment_source_file
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_19,Profumo,,Crauti,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_24,Sapore,,Leggermente  Acido amaro,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_14,Aroma,,Yogurt,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_24,Texture,,Impasta la bocca,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,Q_09,Spessore della Crosta,,Colore di fondo carico si nota meno il sottocrosta,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_24,Spessore della Crosta,,Alto spessore,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,Q_09,Struttura della Pasta,,Fine è stirata in centro grossolana verso scalzo,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,Q_09,Colore della Pasta,,Macchia alone centrale rosato,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_19,Colore della Pasta,,Più che macchie è striscia rosata,SET-OTT,Commenti liberi_QTG_2020.xlsx
data/TrentinGrana/2020-2021_Trentingrana/VI bimestre/27°Seduta_24-03-2021/P2_TN_305_337_B_GRANA.bmp,data/images_flat/2020-2021_Trentingrana__VI bimestre__27°Seduta_24-03-2021__P2_TN_305_337_B_GRANA.bmp,P2_TN_305_337_B_GRANA.bmp,Grana,2020-2021_Trentingrana,2021-03-24,27,VI,,,TN_305,C0C,TG_24,Colore della Pasta,,Brutta,SET-OTT,Commenti liberi_QTG_2020.xlsx
