# Controlled vocabulary — Aroma
# total tokens (incl stopwords): 15186
# unique lemmas (>= 3): 506
# format: <count>	<canonical>	<surface forms (most frequent first)>

1136	cotto	cotto, cotti, cotta, cotte
546	burro	burro
538	formaggio	formaggio, formaggi
490	crosta	crosta
472	nota	note, nota
430	latte	latte, latto
412	lattico	lattico, lattici, lattiche, lattica
372	panna	panna
354	brodo	brodo, brodi
314	grana	grana, gran
294	leggero	leggero, leggera, leggeri, leggere, legger
240	tostato	tostato, tostati, tostate
206	fermentato	fermentato, fermentata, fermentate
188	fuso	fuso
178	animale	animale, animali
168	vegetale	vegetale, vegetali
148	aroma	aroma, aromi
138	intensità	intensità
138	bruciato	bruciato, bruciata
137	piacevole	piacevole, piacevoli
132	sentore	sentore, sentori
128	frutta	frutta
124	tipico	tipico, tipici, tipica
116	caratteristico	caratteristico, caratteristici
114	ossidato	ossidato, ossidata, ossidate
110	carne	carne
108	complesso	complesso
96	intenso	intenso, intensa
90	naso	naso
80	acido	acido, acida, acide
80	stantio	stantio
80	fruttato	fruttato, fruttate, fruttata
76	nostrano	nostrano
72	amaro	amare, amara, amari, amaro
68	stalla	stalla
60	fresco	fresco, fresca, freschi
60	lieve	lieve, lievi
60	vecchio	vecchio, vecchia
58	forte	forte, forti
52	fieno	fieno
52	alta	alta, alto
52	erbe	erbe, erba
50	gradevole	gradevole, gradevoli
50	secco	secca, secco
48	verdura	verdura, verdure
47	persistente	persistente, persistenti
44	sapone	sapone
42	equilibrato	equilibrato
40	moderato	moderato, moderata, moderati
40	bocca	bocca
38	medio	medio
38	grasso	grasso
38	positivo	positivo, positivi
36	prevalenti	prevalenti, prevalente
36	buona	buona, buono, buon, buone
36	neutro	neutro
36	lessa	lessa, lesso, lesse
34	glutammato	glutammato
34	strano	strano, strana
34	propionico	propionico, propionica
34	pane	pane
32	leggerissimo	leggerissimo, leggerissima
32	torna	torna
32	passato	passato
32	provolone	provolone
32	metallico	metallico
32	matura	matura, maturo
28	dado	dado
28	meno	meno
28	caramello	caramello, caramella
28	piccante	piccante
28	erbaceo	erbaceo, erbacei
28	resta	resta, resto
26	nocciola	nocciola
26	ricorda	ricorda
26	emmental	emmental
26	presente	presente, presenti
26	muffa	muffa
26	caratteristiche	caratteristiche
24	yogurt	yogurt
24	dominante	dominante
24	sento	sento, sente
24	minestrone	minestrone
22	evoluto	evoluto, evolute
22	scarico	scarico
20	prima	prima, primo
20	finale	finale, finali
20	profumo	profumo
20	polvere	polvere
20	gorgonzola	gorgonzola
20	marcio	marcio
20	trentingrana	trentingrana
20	altri	altri, altro, altre
20	debole	debole
20	rancido	rancido
20	principalmente	principalmente
20	rispetto	rispetto
20	punta	punta, punte
20	sedano	sedano
20	cipolla	cipolla
18	voto	voto
18	svizzero	svizzero, svizzeri
18	tipiche	tipiche
16	persistenza	persistenza
16	fastidiose	fastidiose, fastidiosi, fastidiosa, fastidioso
16	mandorla	mandorla, mandorle
16	ananas	ananas
16	tanta	tanta, tanto
16	fumo	fumo
16	decisi	decisi, deciso
16	tropicale	tropicale
16	tratti	tratti
16	pasta	pasta
16	odore	odore, odori
16	putrido	putrido
16	sentiti	sentiti, sentita, sentite, sentito
16	piatto	piatto
16	affumicato	affumicato
16	fermentazione	fermentazione
16	ritorna	ritorna
16	tostatura	tostatura
16	olfatto	olfatto
16	subito	subito
14	proposito	proposito
14	bella	bella
14	difettoso	difettoso
14	tornano	tornano
14	fungo	fungo
14	legna	legna, legno
14	pepe	pepe
12	malga	malga
12	aromatica	aromatica
12	emerge	emerge
12	espressivo	espressivo
12	percepibile	percepibile
12	pezzi	pezzi, pezzo
12	salato	salato
12	cacao	cacao
12	biscotto	biscotto
12	letame	letame
12	cavolfiore	cavolfiore
12	olfazione	olfazione
12	sciolto	sciolto
12	mediamente	mediamente
12	inizialmente	inizialmente
12	meglio	meglio
12	stagionato	stagionato
12	povero	povero
12	diverso	diverso, diversi
12	latticini	latticini, latticino
12	aromatiche	aromatiche
12	emmenthal	emmenthal
12	umami	umami
12	confermo	confermo, conferma
12	proprionica	proprionica
12	mentolato	mentolato
12	polveroso	polveroso
12	sangue	sangue
10	fessura	fessure
10	aggiungo	aggiungo
10	intuisco	intuisco
10	abbasso	abbasso
10	mezzo	mezzo
10	retrogusto	retrogusto
10	cuoio	cuoio
8	giovane	giovane
8	elevata	elevata
8	bassa	bassa
8	causa	causa
8	campioni	campioni
8	vanno	vanno
8	ossidazione	ossidazione
8	lievissimo	lievissimo
8	raffreddato	raffreddato
8	sgradevole	sgradevole
8	riuscita	riuscita
8	dolciastro	dolciastro
8	dare	dare
8	anonimo	anonimo
8	cristallo	cristalli
8	texture	texture
8	flebile	flebile
8	pessimo	pessimo
8	all'aroma	all'aroma
8	paglia	paglia
8	liquirizia	liquirizia
8	leggemrente	leggemrente
8	balsamico	balsamico
8	tipo	tipo
8	propioniche	propioniche
8	pulita	pulita, pulito
8	negativa	negativa, negativo
8	legge	legge
8	acqua	acqua
8	nasali	nasali, nasale
8	manca	manca
8	cantina	cantina
8	discreta	discreta
8	lascia	lascia
8	coda	coda
