# Controlled vocabulary — Spessore della Crosta
# total tokens (incl stopwords): 11275
# unique lemmas (>= 3): 252
# format: <count>	<canonical>	<surface forms (most frequent first)>

750	piatto	piatto, piatti
492	scalzo	scalzo, scalzi
386	spessa	spessa, spessi
342	colore	colore, colori
340	crosta	crosta
310	spigoli	spigoli, spigolo
298	sottile	sottile, sottili, sottil
268	sfumata	sfumata, sfumato, sfumati
230	sottocrosta	sottocrosta
196	evidente	evidente, evidenti
190	angoli	angoli, angolo
164	lato	lato, lati
132	spessore	spessore, spessori
132	unghia	unghia
130	marcata	marcata, marcato, marcati
128	regolare	regolare
108	grossa	grossa, grosso, grossi
100	carico	carico
98	mediamente	mediamente
86	medio	medio
82	chiaro	chiaro, chiara
80	pronunciati	pronunciati, pronunciato, pronunciate, pronunciata
76	diverso	diverso, diversi, diversa, diverse
66	omogeneo	omogenea, omogeneo
60	disomogenea	disomogenea, disomogeneo
60	superiore	superiore
56	belli	belli, bello, bella
54	meno	meno
48	buoni	buoni, buono, buona
48	tratti	tratti
44	faccia	faccia
44	limite	limite
42	netto	netto, netta, netti
40	fondo	fondo
40	sull'altro	sull'altro
40	scuro	scuro, scura
40	intenso	intenso
38	accentuati	accentuati, accentuata
36	pasta	pasta
36	grigiastro	grigiastro
34	sottoscritta	sottoscritta
32	alto	alto, alta
32	brutti	brutti, brutto
32	oltre	oltre
32	uniforme	uniforme
30	inferiore	inferiore
28	l'altro	l'altro
28	deciso	deciso, decisi
26	difficile	difficile
24	variabile	variabile
24	irregolare	irregolare
20	dato	dato
20	dispari	dispari
20	maggiore	maggiore, maggiori
20	minimo	minimo
20	aranciato	aranciato
18	microocchiatura	microocchiatura
16	tendente	tendente
16	rossastra	rossastra, rossastro
16	grigio	grigio
16	importante	importante
16	sfuma	sfuma
16	minore	minore
16	punti	punti, punte
16	complesso	complesso
16	contrasto	contrasto, contrasta
15	verde	verde, verdi
14	ampio	ampio, ampia
14	basso	basso, bassa
14	occhiatura	occhiatura, occhiature
14	intorno	intorno
13	tende	tende
12	disidratato	disidratato, disidratata
12	marrone	marrone
12	resto	resto
12	base	base
12	attorno	attorno
12	definita	definita, definiti
12	almeno	almeno
12	ovunque	ovunque
12	nera	nera, nero
12	zone	zone, zona
12	sganciato	sganciato
12	facce	facce
12	fini	fini
12	centro	centro
12	decisamente	decisamente
12	sfondo	sfondo
12	entra	entra, entro
12	tanta	tanta
12	allaltro	allaltro
12	ocra	ocra
12	altro	altro, altri, altre
10	misurare	misurare
10	nettamente	nettamente
10	elevate	elevate, elevato, elevata
10	grana	grana
10	lateralmente	lateralmente
8	eccessivo	eccessivo
8	rossiccio	rossiccio
8	disidratazione	disidratazione
8	tenue	tenue
8	leggero	leggero
8	ottimi	ottimi, ottimo
8	difformi	difformi, difforme
8	contrastato	contrastato
8	valori	valori, valore
8	norma	norma
8	finissima	finissima
8	parte	parte
8	macchia	macchia
8	indefinita	indefinita, indefinito
8	aree	aree
8	peccato	peccato
8	perimetro	perimetro
8	bruno	bruno
8	visibile	visibile
8	differenti	differenti
8	distinta	distinta
8	particolare	particolare
8	piccole	piccole, piccola
8	crostone	crostone
8	abbondante	abbondante
8	grossolano	grossolana, grossolani
8	dell'altro	dell'altro
8	dove	dove
8	colorazione	colorazione
8	risulta	risulta
8	rosato	rosato
8	rosa	rosa
8	dall'altro	dall'altro
8	pulita	pulita
8	vedere	vedere
8	divero	divero
8	tare	tare, tara
6	nota	nota, note
6	discreto	discreto, discreta
6	frattura	frattura
6	centrale	centrale
6	presente	presente
6	entrambi	entrambi
5	sottopiatto	sottopiatto
4	alone	alone
4	confonde	confonde
4	problemi	problemi
4	confrontando	confrontando
4	pallida	pallida
4	rosellino	rosellino
4	enorme	enorme
4	modellatura	modellatura
4	riuscito	riuscito
4	inserire	inserire
4	comp	comp
4	messico	messico
4	dare	dare
4	occhio	occhio
4	complessivamente	complessivamente
4	male	male
4	egli	egli
4	arancio	arancio
4	indicativa	indicativa
4	estremamente	estremamente
4	disomogeneità	disomogeneità
4	cavallo	cavallo
4	patti	patti
4	complessoh	complessoh
4	spogli	spogli
4	definisca	definisca
4	pressoché	pressoché
4	scarso	scarso
4	superficie	superficie
4	intensità	intensità
4	secchezza	secchezza
4	christine	christine
4	ilcm	ilcm
4	tre	tre
4	nell'altro	nell'altro
4	distinguere	distinguere
4	totale	totale
4	sittocrosta	sittocrosta
4	diff	diff
4	molta	molta
4	particolarmente	particolarmente
4	cosi	cosi
4	difetto	difetto
4	dall'esterno	dall'esterno
4	nellunghia	nellunghia
4	vario	vario
4	prossima	prossima
4	regolarità	regolarità
4	normali	normali
4	migliore	migliore
4	ridotti	ridotti
4	perché	perché
4	ahfumata	ahfumata
4	l'ok	l'ok
4	percepibile	percepibile
4	termina	termina
4	comincia	comincia
4	struttura	struttura
