# Controlled vocabulary — Struttura della Pasta
# total tokens (incl stopwords): 41676
# unique lemmas (>= 3): 778
# format: <count>	<canonical>	<surface forms (most frequent first)>

2265	frattura	frattura, fratture
1924	grana	grana, grani, grane, grano, gran
1486	stirata	stirata, stirato, stirate, stirati
1221	microocchiatura	microocchiatura, microocchiature
1004	regolare	regolare, regolari
934	centrale	centrale, centrali, central
752	omogeneo	omogenea, omogeneo, omogenee
735	struttura	struttura, strutture
706	occhiatura	occhiatura, occhiature
651	zona	zona, zone
602	grossolano	grossolana, grossolano, grossolani
580	piccole	piccole, piccola, piccoli, piccolo
576	bella	bella, bello, belli, belle
548	occhio	occhio, occhi
538	granuloso	granulosa, granuloso, granulose
532	centro	centro
514	diffusa	diffusa, diffuse, diffusi
479	fessura	fessura, fessure
438	irregolare	irregolare
432	grossa	grossa, grosse, grossi, grosso
424	presenza	presenza
384	qualche	qualche
348	presente	presente, presenti, presenta
335	pasta	pasta
334	micro	micro
327	piatto	piatto, piatta, piatti
308	striature	striature, striatura
273	cristallo	cristalli, cristallo
258	strappo	strappo, strappi
256	parte	parte, parti
255	evidente	evidente, evidenti
252	disomogenea	disomogenea, disomogeneo
242	leggero	leggera, leggero, leggere, leggeri
240	buona	buona, buon, buono, buoni
234	area	area, aree
228	grande	grande, grandi
201	tratti	tratti
192	spugnosa	spugnosa, spugnoso, spugnose
184	taglio	taglio, tagli
182	forma	forma, forme
170	grandiosa	grandiosa, grandioso
141	spacco	spacco
136	tendente	tendente, tendenti
130	diversa	diversa, diverse, diversi, diverso
122	ruvida	ruvida, ruvido, ruvide
118	lato	lato
114	fitta	fitta, fitti
112	peccato	peccato
108	altre	altre, altri, altra, altro
106	tende	tende
106	stiratura	stiratura, stirature
104	metà	metà
102	superficie	superficie
102	spacchi	spacchi
101	crepa	crepa, crepe
98	scaglia	scaglie, scaglia
98	compatta	compatta, compatto, compatte
98	spaccatura	spaccatura, spaccature
98	microocch	microocch
94	disidratata	disidratata, disidratato, disidratate
92	molte	molte, molti, molta
90	discreta	discreta, discreto
84	striato	striato, striata, striati
84	sfoglia	sfoglia, sfoglie
83	profonde	profonde, profonda, profondi, profondo
82	scalzo	scalzo, scalzi
76	formata	formata
76	ampia	ampia, ampie
74	enorme	enorme, enormi
72	spugna	spugna
68	alcune	alcune, alcuni
68	avvallamenti	avvallamenti, avvallamento
66	punti	punti
66	profilata	profilata, profilate
64	asciutta	asciutta, asciutto
62	effetto	effetto
62	spagnola	spagnola, spagnole
62	pochi	pochi, poche
60	microcchiature	microcchiature
60	friabile	friabile
58	meno	meno
58	dimensioni	dimensioni, dimensione
56	poca	poca
56	brutta	brutta
56	gessata	gessata, gessato, gessate
56	solubile	solubile
54	tante	tante, tanti, tanta
54	lieve	lieve, lievi
54	bocciatura	bocciatura, bocciature
53	interna	interna, interne, interno
52	impugnatura	impugnatura
50	visibili	visibili, visibile
50	umido	umido, umida, umide
49	aspetto	aspetto
48	rada	rada, rade
48	difetti	difetti, difetto
48	oltre	oltre
48	bellissima	bellissima
46	fascia	fascia
44	spugnatura	spugnatura
44	spinosa	spinosa, spinoso
44	assenza	assenza
42	macchia	macchie, macchia
42	uniforme	uniforme
41	esterno	esterno, esterna
40	sottile	sottile, sottili
40	fessurazioni	fessurazioni, fessurazione
40	perle	perle, perla
40	resto	resto
40	granulare	granulare
40	dittatura	dittatura
38	sottocrosta	sottocrosta
38	centralmente	centralmente
38	bolla	bolla, bolle
36	mista	mista, misti
36	grassa	grassa
36	forte	forte, forti
