# Controlled vocabulary — Texture
# total tokens (incl stopwords): 24652
# unique lemmas (>= 3): 504
# format: <count>	<canonical>	<surface forms (most frequent first)>

1598	cristallo	cristalli, cristallo
1100	solubile	solubile, solubil, solubili
1084	asciutto	asciutto, asciutta
866	granuloso	granuloso, granulosa
778	friabile	friabile
714	morbido	morbido, morbida, morbidi
626	pastoso	pastoso, pastosa, pastose
480	grana	grana, gran, grani
463	umido	umido, umida, umidi
398	pochi	pochi
370	bocca	bocca
334	compatto	compatto, compatta
290	solubilità	solubilità
280	friabilità	friabilità
276	microstruttura	microstruttura, microstrutture
268	duro	duro, dura, dure
264	buona	buona, buoni, buone, buono, buon
254	cedevole	cedevole
240	tirosina	tirosina
216	lascia	lascia
212	poca	poca
198	struttura	struttura
182	presenti	presenti, presente
176	sabbioso	sabbioso, sabbiosa, sabbiosi
174	impasta	impasta, impasto
172	adesivo	adesivo, adesiva
168	granuli	granuli, granulo
158	presenza	presenza
140	residuo	residuo, residui
132	tende	tende
118	molti	molti, molta, molte
118	qualche	qualche
110	grossi	grossi, grossa
110	microcristalli	microcristalli, microcristallo
108	mediamente	mediamente
108	molle	molle, mollo
104	scarsa	scarsa, scarsi, scarse
102	finale	finale
100	assente	assente, assenti
98	umidità	umidità
88	pulita	pulita
86	gommoso	gommoso, gommosa
86	percepibili	percepibili, percepibile
82	scioglie	scioglie, sciogli, scioglio
80	medio	medio, medi, medii
78	ingozza	ingozza
76	tenero	tenero
72	bella	bella
72	solub	solub
70	bene	bene
70	grossolano	grossolana, grossolano
68	secco	secco
68	evidenti	evidenti, evidente
68	impastare	impastare
66	farinoso	farinoso, farinosa
64	leggero	leggera, leggero
64	alta	alta, alti
64	intensità	intensità
62	durezza	durezza
60	deformabile	deformabile, deformabili
56	assenza	assenza
56	potrebbe	potrebbe
52	bassa	bassa
50	consistenza	consistenza
50	pasta	pasta
48	piccoli	piccoli, piccolo
48	morso	morso
44	formaggio	formaggio
42	manca	manca
40	denti	denti, dente
40	moderata	moderata, moderato, moderati, moderate
40	rimane	rimane
36	peccato	peccato
36	giovane	giovane
36	complesso	complesso
36	tanti	tanti
34	granulosità	granulosità
32	stirata	stirata
32	discretamente	discretamente
32	percepiti	percepiti, percepito, percepita
32	finissima	finissima, finissimo
32	gradevole	gradevole
32	sottile	sottile
30	strano	strano, strana, strane
28	perle	perle
28	frammenti	frammenti
28	tendente	tendente
28	molare	molare
28	equilibrio	equilibrio
26	asciuga	asciuga
26	fauci	fauci
26	equilibrato	equilibrato, equilibrata, equilibrate
26	discreta	discreta, discreto
26	pastosità	pastosità
26	sabbiosità	sabbiosità
26	elastico	elastico, elastica
24	troppi	troppi
24	piacevole	piacevole, piacevoli
24	fini	fini
24	diversi	diversi, diverse, diversa
24	fondente	fondente
24	pezzi	pezzi, pezzo
24	plastico	plastico
24	forte	forte
24	porzioni	porzioni, porzione
22	pochetto	pochetto
22	sensazione	sensazione
22	pochissimi	pochissimi, pochissima
20	tenerissimo	tenerissimo
20	nessun	nessun, nessuna
20	numerosi	numerosi
20	sabbia	sabbia
20	farina	farina, farino
20	tratti	tratti
20	critalli	critalli
20	moderatamente	moderatamente
20	consistente	consistente, consistenti
20	legata	legata
20	crist	crist
18	persistente	persistente
18	mancanza	mancanza
16	astringente	astringente
16	stagionato	stagionato
16	cristali	cristali
16	sento	sento, sente
16	ottima	ottima, ottimo
16	sentono	sentono
16	tendenzialmente	tendenzialmente
16	inconsistente	inconsistente
16	definita	definita
14	faticoso	faticoso
14	untuosità	untuosità
14	ciononostante	ciononostante
12	fastidioso	fastidioso, fastidiose
12	lega	lega
12	male	male
12	granelli	granelli, granello
12	percettibile	percettibile, percettibili
12	rari	rari
12	deglutizione	deglutizione
12	asciugare	asciugare
12	perfetta	perfetta
12	sfalda	sfalda
12	lasciare	lasciare, lasciar
12	impastata	impastata
12	percepiscono	percepiscono
12	firabile	firabile
12	granulare	granulare
12	strutturato	strutturato
12	privo	privo
12	positiva	positiva
12	velocemente	velocemente
12	fresco	fresco
12	elevata	elevata, elevate
12	estremamente	estremamente
12	incolla	incolla
12	all'inizio	all'inizio
12	grasso	grasso
12	scagliette	scagliette
10	contrasto	contrasto
10	granulometria	granulometria
8	interessante	interessante
8	schioccante	schioccante
8	difetta	difetta, difetto
8	ottimali	ottimali, ottimale
8	altri	altri
8	texture	texture
8	corpo	corpo
8	praticamente	praticamente
8	nostrano	nostrano
8	inesistente	inesistente
8	subito	subito
8	restano	restano
8	dimensioni	dimensioni
8	prima	prima, primo
8	certi	certi
8	morbidezza	morbidezza
8	sciogliersi	sciogliersi
8	giusta	giusta
8	insolubili	insolubili
8	seppur	seppur
8	sciutto	sciutto
8	bilanciato	bilanciato
8	grna	grna
8	frattura	frattura
8	limitata	limitata
8	sbriciola	sbriciola
8	nulla	nulla
8	scarsamente	scarsamente
8	attesa	attesa, atteso
8	grnuloso	grnuloso
8	alcuni	alcuni, alcune
8	molliccio	molliccio
8	granuoloso	granuoloso
8	colloso	colloso
8	mangiare	mangiare
8	pongo	pongo
8	sufficienti	sufficienti, sufficiente
8	minimo	minimo
8	palato	palato
